linkID,volume,capacity
310905,16,6000.0
310906,1,1200.0
310907,1,1200.0
22118,6,1200.0
22119,4,1200.0
221252-571456,2,1200.0
577675-237615,9,1200.0
330215-173183,11,1200.0
153830,5,4000.0
502599-502600-502601,6,6000.0
153831,5,4000.0
153832,1,4000.0
22110,12,1200.0
117659-117641-117639,1,6000.0
22111,7,1200.0
95056,2,1200.0
22112,9,1200.0
95057,2,1200.0
22113,5,1200.0
22114,8,1200.0
22115,6,1200.0
22116,6,1200.0
22117,5,1200.0
358981,1,1200.0
516695-390369,9,2000.0
154980-332701,2,4000.0
358980,1,1200.0
383934,1,1200.0
